,Saturday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.30 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
Section,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A,MAT 1101,ABM,1501,PHY 1001,MN,1501,,,,,,,PHY 1002 - II,MN,1506,,,
1B,CSE 1102 - I,THL,1505,CSE 1102 - I,THL,1505,PHY 1001,MN,1501,MAT 1101,ABM,1501,CSE 1102 - II,THL,1505,CSE 1102 - II,THL,1505
1C,CSE 1102 - I,TA,1504,CSE 1102 - I,TA,1504,PHY 1001,MN,1501,MAT 1101,ABM,1501,,,,,,
2A,,,,ECS 1203,ENG,Online,,,,,,,,,,,,
3A,,,,,,,,,,,,,CSE 2103,SN,1501,EEE 2103,SR,1501
3B,,,,,,,,,,EEE 2104,MN,1506,CSE 2102,SAK,1503,CSE 2102,SAK,1503
3C,,,,,,,,,,BCC 2101,SHU,Online,BCC 2101,SHU,Online,,,
4A,CSE 2207,SAK,UB111,EEE 2206 - I,SR,1506,MAT 2208 - I,ABM,1505,CSE 2208 - I,MMH,1505,,,,,,
5A,CSE 3100 - I,MMH,1503,CSE 3100 - I,MMH,1503,CSE 3102 - I,MTZ,1503,CSE 3102 - I,MTZ,1503,,,,,,
6A,CSE 3201,MAK,2004,CSE 3203,MAK,2004,CSE 3209,SN,2004,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8A,,,,,,,,,,CSE 3298 - I,MAK,1504,CSE 3314 - I,MDS,1504,CSE 3314 - I,MDS,1504
8B,,,,,,,MGT 3311,UYC,Online,,,,,,,,,
8C,,,,,,,CSE 3298 - I,MAK,1504,,,,CSE 3314 - I,EKH,UB103,CSE 3314 - I,EKH,UB103
9A,,,,,,,MGT 3311,UYC,Online,,,,,,,,,
10A,IOM 3111,UYC,Online,,,,ICT 4308,DRI,Online,ICT 4308,DRI,Online,,,,,,
11A,,,,,,,,,,,,,,,,,,
12A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sunday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.30 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
Section,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A,,,,ECS 1101,ENG,Online,ECA 1101,AS,Online,BDS 1001,DMMH,Online,,,,,,
1B,PHY 1002 - I,MN,1506,PHY 1002 - II,MN,1506,CSE 1101,SHB,1501,,,,MAT 1101,ABM,1501,,,
1C,,,,,,,CSE 1101,SHB,1501,PHY 1002 - I,MN,1506,MAT 1101,ABM,1501,,,
2A,CSE 1202 - I,THL,1504,CSE 1202 - I,THL,1504,CSE 1204 - I,FI,1504,CSE 1204 - I,FI,1504,,,,,,
3A,,,,,,,CSE 2101,TA,UB 110,,,,CSE 2100 - II,ANM,UB103,CSE 2100 - II,ANM,UB103
3B,CSE 2110,MDS,1503,CSE 2110,MDS,1503,CSE 2100 - I,FA,1503,CSE 2100 - II,FA,1503,MAT 2105,HR,UB 110,,,
